measure_date,temperature,humidity,lighting,heart_beat,motion_cnt,door_cnt,human_sensing
2020-12-24 0:05,20,32,0,65,0,0,2
2020-12-24 0:35,19,32,0,69,0,0,2
2020-12-24 1:05,19,32,0,74,0,0,2
2020-12-24 1:35,19,32,0,70,0,0,2
2020-12-24 2:05,19,32,0,69,0,0,2
2020-12-24 2:35,19,32,0,71,0,0,2
2020-12-24 3:05,19,32,0,69,0,0,2
2020-12-24 3:35,19,32,0,66,0,0,2
2020-12-24 4:05,19,32,0,68,0,0,2
2020-12-24 4:35,19,32,0,67,0,0,2
2020-12-24 5:05,19,32,0,70,0,0,2
2020-12-24 5:35,19,32,0,67,0,0,2
2020-12-24 6:05,19,32,0,69,0,0,2
2020-12-24 6:35,19,32,0,71,0,0,2
2020-12-24 7:05,19,32,0,68,0,0,2
2020-12-24 7:35,19,32,0,68,0,0,2
2020-12-24 8:04,19,30,3,69,2,0,2
2020-12-24 8:34,19,30,11,74,14,0,2
2020-12-24 9:04,19,31,28,70,29,0,2
2020-12-24 9:34,19,31,42,70,11,0,2
2020-12-24 10:04,19,32,88,73,11,0,2
2020-12-24 10:34,20,31,173,70,6,2,2
2020-12-24 11:04,20,29,181,0,4,2,0
2020-12-24 11:34,20,27,312,0,16,6,0
2020-12-24 12:04,21,25,473,0,37,2,0
2020-12-24 12:34,20,24,523,74,13,7,1
2020-12-24 13:05,20,23,73,71,15,6,2
2020-12-24 13:34,21,25,263,75,45,13,2
2020-12-24 14:04,21,25,139,68,20,2,2
2020-12-24 14:34,21,25,164,69,3,2,2
2020-12-24 15:04,21,25,166,0,66,10,0
2020-12-24 15:34,20,27,134,71,113,10,1
2020-12-24 16:04,20,25,67,0,43,6,0
2020-12-24 16:35,20,25,58,0,93,6,0
2020-12-24 17:04,20,26,32,0,34,4,0
2020-12-24 17:34,20,25,28,0,100,12,0
2020-12-24 18:05,20,28,202,0,24,2,0
2020-12-24 18:34,21,27,175,73,9,0,2
2020-12-24 19:04,21,26,173,71,0,0,2
2020-12-24 19:34,21,26,173,71,5,0,2
2020-12-24 20:04,21,25,174,71,0,0,2
2020-12-24 20:34,21,25,174,70,0,0,2
2020-12-24 21:05,21,25,176,70,0,0,2
2020-12-24 21:34,21,25,175,70,0,0,2
2020-12-24 22:04,21,25,0,69,0,0,2
2020-12-24 22:34,21,25,0,71,0,0,2
2020-12-24 23:05,21,25,0,67,0,0,2
2020-12-24 23:34,20,25,0,69,0,0,2
2020-12-25 0:04,20,25,0,68,0,0,2
2020-12-25 0:34,20,25,0,71,0,0,2
2020-12-25 1:04,20,25,0,74,0,0,2
2020-12-25 1:34,20,25,0,71,0,0,2
2020-12-25 2:04,20,25,0,66,0,0,2
2020-12-25 2:34,20,25,0,71,0,0,2
2020-12-25 3:04,20,25,0,74,0,0,2
2020-12-25 3:34,20,25,0,66,0,0,2
2020-12-25 4:04,19,25,0,69,0,0,2
2020-12-25 4:34,19,25,0,0,0,0,0
2020-12-25 5:04,19,25,0,66,0,0,2
2020-12-25 5:34,19,24,0,70,0,0,2
2020-12-25 6:04,19,24,0,71,0,0,2
2020-12-25 6:34,19,24,0,69,0,0,2
2020-12-25 7:04,19,24,0,70,0,0,2
2020-12-25 7:34,19,24,0,71,0,0,2
2020-12-25 8:04,19,24,3,69,0,0,2
2020-12-25 8:34,19,23,10,0,5,2,0
2020-12-25 9:04,19,22,19,71,7,2,1
2020-12-25 9:34,19,22,24,70,0,0,1
2020-12-25 10:04,19,23,105,71,13,0,1
2020-12-25 10:34,20,21,220,0,19,2,0
2020-12-25 11:04,20,24,269,71,10,0,2
2020-12-25 11:34,21,24,315,71,0,0,2
2020-12-25 12:04,22,23,331,68,0,0,2
2020-12-25 12:34,22,24,330,70,0,0,2
2020-12-25 13:04,22,23,321,70,9,0,2
2020-12-25 13:34,23,23,307,68,0,0,2
2020-12-25 14:04,23,23,283,65,0,0,2
2020-12-25 14:34,23,23,248,69,0,0,2
2020-12-25 15:04,23,23,217,69,2,0,2
2020-12-25 15:34,23,23,165,70,0,0,2
2020-12-25 16:04,23,23,83,70,0,0,2
2020-12-25 16:34,22,23,33,70,0,0,2
2020-12-25 17:04,22,23,3,71,0,0,2
2020-12-25 17:34,21,23,30,74,29,0,2
2020-12-25 18:04,21,24,179,71,24,0,2
2020-12-25 18:34,21,23,175,72,3,0,2
2020-12-25 19:04,21,23,175,69,0,0,2
2020-12-25 19:34,21,22,173,68,0,0,2
2020-12-25 20:04,21,22,173,71,0,0,2
2020-12-25 20:34,21,22,171,69,0,0,2
2020-12-25 21:04,21,23,175,71,0,0,2
2020-12-25 21:34,21,23,174,71,0,0,2
2020-12-25 22:04,21,23,0,72,0,0,2
2020-12-25 22:34,21,23,0,71,0,0,2
2020-12-25 23:04,20,24,0,69,0,0,2
2020-12-25 23:34,20,24,0,72,0,0,2
