measure_date,temperature,humidity,lighting,heart_beat,motion_cnt,door_cnt,human_sensing
2020-12-23 15:17,23,32,2,0,0,0,0
2020-12-23 15:47,23,32,2,0,8,0,0
2020-12-23 16:17,23,32,2,0,4,0,0
2020-12-23 16:47,23,32,2,0,0,0,0
2020-12-23 17:17,23,32,2,69,6,0,1
2020-12-23 17:47,23,32,2,0,4,1,0
2020-12-23 18:17,23,33,2,0,5,0,0
2020-12-23 18:47,23,33,2,0,1,0,0
2020-12-23 19:17,23,33,2,0,0,0,0
2020-12-23 19:47,23,33,2,0,5,0,0
2020-12-23 20:17,23,33,2,70,7,4,1
2020-12-23 20:47,23,33,2,0,3,0,0
2020-12-23 21:17,23,33,2,0,0,0,0
2020-12-23 21:47,23,33,2,0,2,0,0
2020-12-23 22:17,23,34,2,0,2,0,0
2020-12-23 22:47,23,34,2,0,0,0,0
2020-12-23 23:17,23,34,2,0,3,0,0
2020-12-23 23:47,23,34,2,69,7,0,1
2020-12-24 0:17,23,34,2,68,0,0,2
2020-12-24 0:47,23,34,2,67,0,0,2
2020-12-24 1:17,23,34,2,69,0,0,1
2020-12-24 1:47,23,34,2,64,0,0,2
2020-12-24 2:17,23,34,2,67,0,0,2
2020-12-24 2:47,24,34,2,74,0,0,1
2020-12-24 3:17,24,34,2,0,0,0,0
2020-12-24 3:47,24,34,2,72,0,0,2
2020-12-24 4:17,24,34,2,72,0,0,1
2020-12-24 4:47,24,34,2,77,0,0,1
2020-12-24 5:17,24,34,2,74,0,0,1
2020-12-24 5:47,24,34,2,70,3,0,2
2020-12-24 6:17,24,34,2,70,0,0,2
2020-12-24 6:47,24,34,2,66,0,0,2
2020-12-24 7:17,24,34,2,66,5,0,1
2020-12-24 7:47,23,34,2,0,4,0,0
2020-12-24 8:17,23,34,2,0,3,1,0
2020-12-24 8:47,23,34,2,0,9,0,0
2020-12-24 9:17,23,34,2,0,8,0,0
2020-12-24 9:47,23,34,2,0,10,0,0
2020-12-24 10:17,24,33,2,0,9,0,0
2020-12-24 10:47,25,33,2,0,4,0,0
2020-12-24 11:17,25,32,2,0,4,0,0
2020-12-24 11:47,25,32,2,67,4,0,1
2020-12-24 12:17,25,31,2,0,3,0,0
2020-12-24 12:47,25,31,2,0,0,0,0
2020-12-24 12:50,25,32,9,0,0,0,0
2020-12-24 12:54,26,31,34,69,0,0,1
2020-12-24 12:54,26,31,35,70,0,0,2
2020-12-24 12:55,26,31,35,69,0,0,2
2020-12-24 12:55,26,31,36,69,0,0,2
2020-12-24 12:55,26,31,33,70,0,0,1
2020-12-24 12:55,26,31,33,70,0,0,2
2020-12-24 12:55,26,31,33,69,0,0,1
2020-12-24 12:55,26,31,28,69,0,0,1
2020-12-24 13:26,26,30,30,68,13,0,1
2020-12-24 13:56,26,30,21,0,15,0,0
2020-12-24 14:26,26,30,16,0,8,0,0
2020-12-24 14:56,26,30,14,0,4,0,0
2020-12-24 15:26,26,30,8,0,6,0,0
2020-12-24 15:56,26,30,7,71,11,0,1
2020-12-24 16:26,25,30,2,0,5,0,0
